Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
Morocco Irrigation,Advisory Services,"",Completed,Middle East and North Africa,Morocco,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to Morocco. The objective is 
development of two pilot projects in irrigation infrastructure (Guerdane 
and Gharb) involving private sector participation.","","","","","","","","","","","","","","","","","","","","",11312,"","",Infrastructure,"",2005-07-26T04:00:00Z,2001-10-09T04:00:00Z
Vietnam Power,Advisory Services,"",Active,East Asia and the Pacific,Vietnam,"","",2009-05-26T04:00:00Z,"","","","The project acts as lead adviser to the government of Vietnam, providing 
advisory services on the structuring of a competitive tender to identify a 
project sponsor to develop, operate, and manage a coal-fired thermal power 
plant to supply power to the national power utility, Electricity of 
Vietnam. The objective is to mobilize private sector participation in 
electricity generation.","","","","","","","","","","","","","","","","","","","","",22296,"","",Infrastructure,"",2006-05-02T04:00:00Z,2003-10-28T05:00:00Z
Philippines SPUG,Advisory Services,"",Completed,East Asia and the Pacific,Philippines,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to the power-generation industry in 
the Philippines. The objective is to introduce private sector 
participation into power generation in non-grid areas, such as remote 
islands, via divestitures of certain power supply agreements (PSAs) 
between the National Power Corporation's Small Power Utilities Group 
(SPUG) and the electricity cooperatives, and, whenever applicable, the 
corresponding sale of SPUG generation assets, in favor of new PSAs with 
prospective new independent power producers.","","","","","","","","","","","","","","","","","","","","",23282,"","",Infrastructure,"",2005-07-21T04:00:00Z,2004-03-26T05:00:00Z
BR 116 Road,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2009-05-26T04:00:00Z,"","","","The project provides infrastructure advice to the government of Brazil's 
Ministry of Planning and its development bank, Banco Nacional de 
Desenvolvimento Econômico e Social. The objective is to build and 
implement possibly the first public-private partnership project in Brazil.","","","","","","","","","","","","","","","","","","","","",24443,"","",Infrastructure,"",2005-09-20T04:00:00Z,2005-07-21T04:00:00Z
Abu Dhabi Health,Advisory Services,"",Completed,Middle East and North Africa,United Arab Emirates,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory assistance to the Emirate of Abu Dhabi. The 
objective is to implement a new national health insurance program (to be 
administered by an international insurance company), and to privatize the 
Emirate's government-owned hospitals and clinics.","","","","","","","","","","","","","","","","","","","","",24654,"","",Infrastructure,"",2005-12-08T05:00:00Z,2005-10-07T04:00:00Z
Independent Power Plants in Bangladesh,Advisory Services,"",Completed,South Asia,Bangladesh,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services on infrastructure to the government 
of Bangladesh. The objective is the design and implementation of one large 
(up to 450-megawatt) base-load gas-fired independent power producer (IPP) 
project, successfully bid on a transparent basis to a reputable 
international investor or supplier.","","","","","","","","","","","","","","","","","","","","",24935,"","",Infrastructure,"",2006-03-22T05:00:00Z,2006-01-27T05:00:00Z
Telkom Kenya Limited Advisory,Advisory Services,"",Completed,Africa,Kenya,"","",2009-05-26T04:00:00Z,"","","","The project assists with infrastructure in Kenya. The objective is to 
structure and tender the sale of a strategic-share stake (26 percent or 
higher) in Telkom Kenya Limited, Kenya's incumbent, and only, fixed-line 
operator.","","","","","","","","","","","","","","","","","","","","",25085,"","",Infrastructure,"",2006-09-19T04:00:00Z,2006-04-03T04:00:00Z
Jirama Public Private Partnership,Advisory Services,"",Completed,Africa,Madagascar,"","",2009-05-26T04:00:00Z,"","","","The project implements a public-private partnership and introduction of 
private management of Jirama, Madagascar's energy company. The objective 
is to address the operational, financial, and commercial weaknesses of the 
company.","","","","","","","","","","","","","","","","","","","","",25102,"","",Infrastructure,"",2007-03-05T05:00:00Z,2006-04-10T04:00:00Z
Public Private Partnership in Irrigation,Advisory Services,"",Completed,Latin America and the Caribbean,Brazil,"","",2009-05-26T04:00:00Z,"","","","The project provides assistance to the government of Brazil. The objective 
is to structure and implement a private sector participation irrigation 
project (Pontal Project) in Petrolina, State of Pernambuco, in the 
northeast of Brazil.","","","","","","","","","","","","","","","","","","","","",25117,"","",Infrastructure,"",2008-02-07T05:00:00Z,2006-04-14T04:00:00Z
Independent Power Plants in Zambia,Advisory Services,"",Completed,Africa,Zambia,"","",2009-05-26T04:00:00Z,"","","","The project assists the government of Zambia in bidding out its first 
competitively procured independent power producer. The objective is to 
support the country's economic growth and reestablish its credibility with 
investors; and to establish a model for processes and documentation for 
future private participation in the sector.","","","","","","","","","","","","","","","","","","","","",25314,"","",Infrastructure,"",2007-06-11T04:00:00Z,2007-11-01T04:00:00Z
Public Private Partnership for new schools,Advisory Services,"",Completed,Middle East and North Africa,"Egypt, Arab Republic of","","",2009-05-26T04:00:00Z,"","","","The project works with public-private partnerships in Egypt. The objective 
is to expand the availability and quality of public school facilities 
through public-private partnerships for private sector design, 
construction, capital financing, and maintenance of new primary and 
secondary schools.","","","","","","","","","","","","","","","","","","","","",25533,"","",Infrastructure,"",2006-10-31T05:00:00Z,2006-12-03T05:00:00Z
Liberia Power,Advisory Services,"",Completed,Africa,Liberia,"","",2009-05-26T04:00:00Z,"","","","The project provides advice to the government of Liberia. The objective is 
an effective introduction of private sector participation into the 
country's power sector.","","","","","","","","","","","","","","","","","","","","",25742,"","",Infrastructure,"",2007-03-14T04:00:00Z,2006-12-05T05:00:00Z
Public Private Partnership for Botswana International University of Science and Technology,Advisory Services,"",Completed,Africa,Botswana,"","",2009-05-26T04:00:00Z,"","","","The project advises the government of Botswana on the design and tender of 
a public-private partnership for a new second university for the country, 
the Botswana International University of Science and Technology. The 
objective is to identify the most appropriate public-private partnership 
structure for the university, and to execute the transaction.","","","","","","","","","","","","","","","","","","","","",25821,"","",Infrastructure,"",2007-03-16T04:00:00Z,2007-07-20T04:00:00Z
CentralJava Independent Power Plant,Advisory Services,"",Active,East Asia and the Pacific,Indonesia,"","",2009-05-26T04:00:00Z,"","","","The project provides advisory services to the government of Indonesia to 
implement private sector participation to build, own, and operate the 
2x600-megawatt greenfield coal-fired Central Java Power Project. The 
objective is to revitalize private sector investment in Indonesia's power 
sector.","","","","","","","","","","","","","","","","","","","","",26215,"","",Infrastructure,"",2008-02-05T05:00:00Z,2008-04-28T04:00:00Z
