Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
India Climate Smart Cities PPP Program,Advisory Services,"",Active,South Asia,India,"","",2023-03-31T04:00:00Z,"","","","IFC has entered into Memorandum of Understanding (MoUs) with i) Kerala Infrastructure Investment Fund Board (KIFB); ii) PPP Department, Government of Goa; and iii) Gujarat Power Corporation Limited (GPCL). 

IFC will support KIFB and the Government of Goa in identification and screening of Public-Private Partnership (PPP) projects across infrastructure sectors and undertake pre-feasibility assessments of select projects. 

IFC will also support GPCL to conduct a pre-feasibility assessment for a potential pilot project to produce clean hydrogen-based renewable energy at one of GPCL's sites in Gujarat.","","","","","","	Identification of at least one climate friendly PPP transaction based on the screening and pre-feasibility assessments being undertaken with multiple entities
	Mobilization of private sector investment
	Creation of jobs","","","","","","","","","","","","","","",604080,"","",Transaction Advisory,"",2020-03-16T04:00:00Z,2019-11-01T04:00:00Z
Kenya National Housing Corporation Project ,Advisory Services,"",Active,Africa,Kenya,"","",2022-11-10T05:00:00Z,"","","","IFC is assisting the State Department of Urbanization and Housing (SDUH) and National Housing Corporation (NHC) to developing affordable houses, in response to a shortage in affordable housing. Kenya' s population is young and urbanizing rapidly, putting strong pressure on housing needs. Three quarters of the total population, estimated at 45m, is below 35 years and the country has one of the fastest urban growth rates in the region in 2021 it recorded a growth of 4.3%. The Kenya Bureau of Statistics, in 2018, estimated that 61% of urban households live in slums (compared to 50% and 23% in Nigeria and South Africa respectively). This elevated rate is attributed to rapid urbanization leading to overcrowding and lack of access to basic services. Further in urban centers, 56% of the households (average size 4) live in one single-roomed houses while less than 19% own homes. Urban centers face a shortage of 200,000 housing units annually whereas only 50,000 new housing units are supplied annually, mainly by the private sector. In housing shortages, vulnerable groups like women, children, the elderly, and persons with disabilities are most at risk.

The project will contribute to the newly elected Government's affordable housing goal and provide an opportunity to other counties in Kenya with similar affordable housing challenges develop a scalable housing product.

IFC's advisory mandate is being rolled out in two phases:
1) Phase 1: the project preparation which entails a detailed due diligence covering legal, technical, environmental, and social, commercial, and financial aspects to develop a project structure; and
2) Phase 2, the tender phase where a private party will be procured to develop the project","","","","","",The successful implementation of the project is expected to result in the mobilization of private sector investment and delivery of affordable housing units to eligible individuals under the Government's affordable housing program.,"","","","","","","","","","","","","","",605922,"","",Transaction Advisory,"","",2022-08-30T04:00:00Z
Maharashtra Pathology PPP project,Advisory Services,"",Active,South Asia,India,"","",2022-11-08T05:00:00Z,"","","","IFC will assist the Medical Education and Drugs Department of the Government of Maharashtra to structure a public-private partnership to develop, operate, and maintain advanced pathology labs across Medical College Hospitals in Maharashtra.","","","","","",The successful implementation of the project is expected to result in improved access for patients to advanced pathology services in Maharashtra and mobilization of private sector investment in the state's healthcare sector.,"","","","","","","","","","","","","","",607316,"","",Transaction Advisory,"",2022-08-04T04:00:00Z,2022-09-01T04:00:00Z
Maharashtra Radiology PPP Project ,Advisory Services,"",Active,South Asia,India,"","",2022-11-08T05:00:00Z,"","","","IFC will assist the Medical Education and Drugs Department of the Government of Maharashtra to structure a public-private partnership to develop, operate, and maintain advanced radiology labs across Medical College Hospitals in Maharashtra.","","","","","",The successful implementation of the project is expected to result in improved access for patients to advanced radiology services in Maharashtra and mobilization of private sector investment in the state's healthcare sector.,"","","","","","","","","","","","","","",607307,"","",Transaction Advisory,"",2022-08-04T04:00:00Z,2022-09-01T04:00:00Z
Sustainable Industries in  El Salvador,Advisory Services,"",Active,Latin America and the Caribbean,El Salvador,"","",2022-11-07T05:00:00Z,"","","","The Sustainable Industries in El Salvador Project (SIES) is an initiative that seeks to strengthen investments in the efficient use of natural resources in Salvadoran companies, promoting initiatives that facilitate their adaptation to climate change and sustainable competitiveness. 
The SIES Project has three advisory components: 1) environmental regulatory system, voluntary agreements and co-financing mechanisms for companies, 2)  energy management audits and support in the presentation of investment projects to banks, and 3) development of green financing lines through local commercial banks with the support of the IFC.","","","","","","The overarching objective of the Sustainable Industries in El Salvador (SIES) project is to contribute to the competitiveness of selected strategic industries in El Salvador by promoting environmental sustainability and climate-related investments and by providing greater access to green financing. Three years after completion, the project aims to have attained impact in terms of investment facilitated for resource efficiency and CO2 emissions reductions","","","","","","","","","","","","","","",604970,"","",Other,"",2021-08-24T04:00:00Z,2021-09-01T04:00:00Z
Bank Asia Risk Management,Advisory Services,"",Active,South Asia,Bangladesh,"","",2022-11-04T04:00:00Z,"","","","The project will assist Bank Asia to (i) Identify and address gaps in its risk management framework and credit risk cycle operations, (ii) Build a roadmap of key initiatives which will have a significant impact in the short and medium-term, and (iii) Provide implementation support of the key initiatives in the context of COVID-19 challenges and adoption of market best practices.","","","","","",The project aims to enhance Bank Asia Limited (BAL)'s resilience to overcome Covid-19 challenges and aim for healthy growth post COVID by strengthening the readiness of BAL's bank-wide risk management framework and optimize credit risk management and its operations in the context of the COVID-19 challenges and adoption of market best practices.,"","","","","","","","","","","","","","",606383,"","",Financial Institutions Group,"",2021-06-30T04:00:00Z,2021-07-01T04:00:00Z
RMDC Phase II  Strategy Implementation ,Advisory Services,"",Active,South Asia,Nepal,"","",2022-11-04T04:00:00Z,"","","","IFC recommends and will assist RMDC to focus on strengthening its operating model, digitize its operation, enhance its risk management, and partner organization engagement capabilities. Additionally, IFC will assist RMDC with accelerating its growth by setting up its own retail microfinance operations to have a sustainable long-term business model given the increased competition, regulatory changes, and market conditions.","","","","","",The project aims at addressing RMDC's vision and desires for strengthening its current wholesale lending operations through better risk management practices and the use of digital solutions. The project also intends to help RMDC continue growing its operations by providing technical advice to start its retail microfinance business.,"","","","","","","","","","","","","","",606422,"","",Financial Institutions Group,"",2021-07-26T04:00:00Z,2021-07-01T04:00:00Z
Kerala Infrastructure Investment Fund Board Green Capacity Building,Advisory Services,"",Active,South Asia,India,"","",2022-10-31T04:00:00Z,"","","","The project builds upon approach of the IFC Cities Platform model, providing tailored advisory support to the Kerala Infrastructure Investment Fund Board (KIIFB). It is one of IFC's first such engagements in India and reflects the importance of supporting the greening of local infrastructure by engaging with subnational entities, including municipalities and cities, as well as state-level entities.

KIIFB is the designated primary entity for financing all large public infrastructure projects in Kerala, with a major portion of its pipeline allocated to urban infrastructure. In addition to financing, KIIFB also has a mandate to appraise projects and oversee construction, whilst the projects themselves are implemented and operated by other State agencies and related entities.

The project covers the following components:

- Component 1 - E&S Capacity Building: IFC will help improve KIIFB's capacity to address environmental and social (E&S) risks. This includes the assisting in the development of Environmental and Social Management Plans (ESMPs) and Environmental and Social Management Systems (ESMSs), including gender-based violence and harassment (GBVH), a building code compliance review and a chlorine leak risk assessment for water treatment plants.

- Component 2 - Green Finance Framework: IFC will accompany KIIFB in designing a Green Finance Framework to help it attract green financing and support KIIFB on getting a second opinion on the framework to confirm alignment with the Green Loan Principles and Green Bond Principles. A Green Finance Framework and its application can demonstrate to the market the integrity of KIIFB in and commitment towards green financing by establishing transparent guiding principles for the selection and evaluation of projects.

- Component 3 - Resilience: IFC will help mainstream climate resilience considerations into KIIFB's operations. Amongst others, this will be achieved through helping the development of an overarching Climate Resilience Policy, promoting the inclusion of climate resilience information into KIIFB's project appraisal and funding process, conducting a series of general climate and sector-specific trainings to engineering teams, as well as developing a climate information depository.

IFC also provides advice to facilitate the certification of several hospitals as green buildings, using IFC's own certification tool EDGE and a third-party certification process. Related activities are led by IFC's EDGE Green Buildings Program and through a separate project.","","","","","","The overarching objectives of the project are as follows:

IFC aims to help KIIFB strengthen its Environmental & Social risk management practices, in line with IFC's Performance Standards. 

Moreover, IFC aims to build KIIFB's capacity for financing green and resilient infrastructure projects in the future. This includes helping KIIFB integrate climate resilience considerations into its project pipeline, as well as helping it to develop a Green Finance Framework in line with international good practices.

Overall, it is thus expected that the project will help send a strong market signal that Green financing is possible at the State level in India. It will further help KIIFB establish itself as the primary state vehicle for funding green/climate-compatible and resilient infrastructure in Kerala State.

","","","","","","","","","","","","","","",606424,"","",Infrastructure,"",2021-07-07T04:00:00Z,2021-07-05T04:00:00Z
Togo Health  Imaging PPP,Advisory Services,"",Active,Africa,Togo,"","",2022-10-28T04:00:00Z,"","","",IFC will assist the Government of Togo to develop and implement a public-private partnership to improve medical imaging services in public hospitals.,"","","","","","The project is expected to contribute to improved imaging services being accessible to patients at public hospitals in Togo in the capital Lomé, as well as in secondary cities where health services are currently limited.","","","","","","","","","","","","","","",606949,"","",Transaction Advisory,"",2022-06-13T04:00:00Z,2022-03-15T04:00:00Z
Niger Telecoms,Advisory Services,"",Active,Africa,Niger,"","",2022-10-28T04:00:00Z,"","","","IFC will assist the Government of Niger to conduct a comprehensive diagnostic of Niger Telecoms to assess, as appropriate, options for private sector participation in Niger Telecoms and structure and implement a viable transaction.","","","","","","Reforming Niger Telecoms will help boost the country's digital transformation by identifying various options that maximize socio-economic development while taking into account the company's financial, social and environmental interests.","","","","","","","","","","","","","","",607009,"","",Transaction Advisory,"",2022-04-08T04:00:00Z,2022-04-01T04:00:00Z
