Project Name,Type Description,Document Type Description,Status Description,Region Description,Country Description,Company Name,Department,Disclosed Date,Projected Board Date,Environmental Category Description,Product Area Description,Project Description,Overviewfund,Riskimpact,Esap,Review Scope,Environmental Social Info,Impact,Result,Risk Assessment,Role,Contribution,Environmental Social Issues,Sponsor,Cost Nature,Investment,Location,Environmental Social Categorization Rationale,Riskfund,Risk Impact,Stakeholders,Mitigation Measures,Project Number,Private Equity Funds,Sector,Business Area Description,Estimated Total Budget,Approval Date,Estimated Start Date
THE SADIOLA HILL GOLD PROJECT,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Active,Africa,Mali,LA SOCIETE D'EXPLOITATION DES MINES D'OR DE SADIOLA S.A,Energy & Mining - Global Infra,1994-10-31T05:00:00Z,1994-11-29T05:00:00Z,A,Loan,"Consists of the commercial development of the Sadiola Hill Gold Mine through open-pit mining, the construction of a carbon-in-pulp (CIP) cyanide treatment plant plus associated infrastructure facilities.","","","","","","","","","","",This is a category A project under IFCs environmental review procedure. Key environmental issues include: water supply; selection of a water corridor and its effects on migration of livestock and wildlife; habitat disturbance; impacts to archeological resources; socio-economic impacts; potential presence of cyanide in tailings; dust reclamation and erosion control. Occupational health and safety issues include: handling and storage of hazardous materials. The Environmental Assessment and EA Executive Summary are available from the Public Information Center. Location of environmental documents In locally affected community,"Anmercosa Mining (West Africa) Limited (Anmin), a wholly-owned subsidiary of Anglo American Corporation (AAC) of South Africa Limited, will hold 38%; International African Mining Gold Corporation (Iamgold) of Canada - 38%; Government of Mali - 18% and IFC - 6%. AAC will provide management.",US$ 246.2 million (including contingencies and escalation),39.80 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan35.0Equity4.80* These investment figures are indicative,"The Concession lies 77 km south of the provincial capital, Kayes, in Western Mali near the border with Senegal.",This is a category A project under IFCs environmental review procedure. Key environmental issues include: water supply; selection of a water corridor and its effects on migration of livestock and wildlife; habitat disturbance; impacts to archeological resources; socio-economic impacts; potential presence of cyanide in tailings; dust reclamation and erosion control. Occupational health and safety issues include: handling and storage of hazardous materials. The Environmental Assessment and EA Executive Summary are available from the Public Information Center. Location of environmental documents In locally affected community,"","","","",4360,"",BE - Gold,"","","",""
AEF-KAILA LODGE ZAMBIA,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Zambia,KAILA LODGE LTD,Regional Industry - MAS Africa,1994-11-17T05:00:00Z,"",A,Loan,"	SUMMARY OF PROJECT INFORMATIONProject Name:			Kayila Lodge, Zambia 			 Region:				Southern Africa Sector:				TourismProject No.:				4825Company Name:			Kayila Lodge Zambia LtdDescription of Location:		Lower ZambesiDate SPI sent to PIC: 		November 17, 1994Projected Approval Date:	January 10, 1995Description of Company and Purpose of Project:		Kayila Lodge Zambia Ltd is a new company set up to own and operate a recently completed 8 bed safari lodge on the lower Zambesi River.  The project is for the expansion of the lodge to a capacity of 12 beds and for the addition of vehicles and boats.Technical Partner and/or Major Shareholders:		The shareholders are S.M. McCormick (39%), L.S. Games (29%), D. Games (29%) and A. Masutu (3%).  A technical partner in the operation of the lodge is Safari Par Excellence, Zimbabwe, which is a well established canoe and lodge safari operator and white-water rafting group in Zimbabwe.  SPE is controlled by S.M. McCormick and L.S. Games.Project Cost:			US$384,000Environmental Category and Issues:			This is an environmental review category A project.  Environmental and occupational health and safety issues include impacts on wildlife and sensitive ecosystems, socioeconomic impacts, water supply, waste disposal, energy resources, and general health and safety issues. An Environmental Impact Assessment prepared by the sponsors, and satisfactorily reviewed by IFC, has been placed in the Public Information Center. L:\CAFD1\AEF\ZAMBIA\KAYILA.SPIL:\CAFD1\AEF\ZAMBIA\KAYILA.SPIEnvironmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",0.19 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.19Equity* These investment figures are indicative,"","","","","","",4825,"",AB - Resort Hotel (Including Lodges),"","","",""
AEF Abercrombie & Kent (Tanzania) Ltd.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Africa,Tanzania,Abercrombie and Kent (Tanzania) Limited,"Gbl Ind, Manufact, Agribus & Services",1995-01-01T05:00:00Z,"",B,Loan,"SUMMARY OF PROJECT INFORMATION (SPI)Country/Project Name		Tanzania-Abercrombie & Kent Tanzania Limited.Region				Sub-Saharan AfricaSector				TourismProject No				007178Projected Approval Date	December 22, 1995Company Name			Abercrombie & Kent Tanzania LimitedTechnical Partner and/or Major Shareholders: &nbsp;The sponsor is Geoffrey Kent, a Kenya born British national and longtime resident of Kenya. &nbsp;Mr. Kent is considered a pioneer in establishing East Africa on the world tourism map. &nbsp;Since founding Abercrombie & Kent Tanzania Limited Kenya in 1963 he has expanded worldwide to establish many other companies, all in the tourism industry under the Abercrombie & Kent Tanzania Limited name.Project Cost including proposed IFC investment: &nbsp;		Project Cost:					US$ 900,000		IFC Investment (Loan):			US$ 450,000Location of project and Description of site: &nbsp;The Company''s office is located at the Arusha International Conference Centre. &nbsp;The minibuses are based at a leased depot in the town center and when in use are driven primarily to transport tourists to game parks within Tanzanias northern circuit. &nbsp;Description of Company and Purpose of Project: &nbsp;ABERCROMBIE & KENT TANZANIA LIMITED Tanzania is a tour operator that packages holidays in Tanzania. &nbsp;The Company contracts hotel accommodation, organizes land and air transportation within the country, provides local guides and liaises with all providers of ancillary services for the tourists. &nbsp;The project is the renewal of the Company''s minibus fleet with the purchase of 30 minibuses in two phases over two years. &nbsp;The renewal program will reduce the average age and number of vehicles in the fleet. &nbsp;This will enhance efficiency, lower costs and increase profitability.Environmental Categories and Issues: &nbsp;This is a category B project. &nbsp;Key issues considered during review of this project included waste disposal, oil/fuel storage and spill prevention, vehicle emissions and safety, and fire protection. &nbsp;The sponsors submitted a detailed and acceptable management plan addressing the issues listed above. &nbsp;An ERS is expected to be available in the PIC on December 5, 1995.Date SPI sent to PIC:	December 1, 1995For additional Information contact: &nbsp;Corporate Relations Unit - telephone (202) 473-7711 - facsimile: (202) 676-0365.Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",0.45 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan0.45Equity* These investment figures are indicative,"","","","","","",7178,"","AD - Tour Operators (i.e., Arranging and Assembling Tours)","","","",""
Intra-Regional Trade Enhancement Facility,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,World Region,Intra-Regional Trade Enhancement Facility (IRTEF) - Dalrybbank,"Global Industry, Financial Markets",1995-01-17T05:00:00Z,"",C,Guarantee,"Summary Of Project Information (SPI)Project NameIntra-Regional Trade Enhancement Facility     RegionCentral and Eastern Europe / CISSectorProject No007172Projected Board DateFebruary 17, 1996Company NameN/ATechnical Partner and/or Major Shareholders	Raiffeisen Zentralbank Österreich A.G.Project Cost Including proposed IFC investment	US$40 million, including an IFC guarantee of up to US$20 millionLocation of project and Description of site	Central and Eastern Europe and the European part of the CISDescription of Company and Purpose of Project	The project involves the establishment of a US$40 million five year revolving trade enhancement facility for guaranteeing the credit risk of selected banks within Central and Eastern Europe and the European part of the CIS (the Region) engaged in trade finance.  The co-guarantor of the facility will be Raiffeisen Zentralbank Österreich A.G. (RZB), a leading Austrian commercial bank.  RZB and IFC will each assume 50% of the risk exposure under the facility.  The facility will offer private exporters and importers in the Region the ability to cover credit risks deriving from commercial transactions through letters of credit or guarantees issued by selected banks in the Region and co-guaranteed by RZB and IFC, thereby facilitating trade within the Region. Environmental Category and Issues	This is a category C project according to IFC''s environmental review procedure.  No further environmental review is therefore required.          Date SPI sent to PIC January 17, 1996For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 676-0365","","","","","","","","","","","","","",30.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuarantee30.0Loan0.0Equity* These investment figures are indicative,"","","","","","",7172,"",GA - Trade Finance,"","","",""
KUMTOR GOLD,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Europe and Central Asia,Kyrgyz Republic,Kumtor Gold Company,Energy & Mining - Global Infra,1995-01-25T05:00:00Z,1995-03-02T05:00:00Z,A,Loan,"Commercial development of the Kumtor gold deposit through open-pit mining, construction of a conventional carbon-in-leach (CIL) cyanide treatment plant and associated infrastructure facilities.","","","","","","","","","","","This is a category A project under IFCs environmental review procedure. Cameco has prepared a detailed environmental assessment (EA) which adequately addresses the environmental issues associated with the project. Cameco has also undertaken necessary public consultation and disclosure in accordance with IFC policy. Environmental issues associated with the project include loss of habitat, erosion, effluent discharge, and reclamation planning. Occupational health and safety issues include provision of adequate training, proper hazardous substance handling and storage, work place air quality, and provision and use of personal protection equipment.Location of environmental documents In locally affected community","Kumtor Gold Company is owned 2/3 by Kyrgzaltin, a state entity and 1/3 by Kumtor Mountain Corporation, a wholly-owned subsidiary of Cameco Corporation of Canada. Cameco will provide the management.",Approximately US$335 million (including contingencies and escalation),40.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan40.0Equity* These investment figures are indicative,"The deposit is located at an elevation of 4,000 meters in the remote southeastern mountainous region of the Kyrgyz Republic in a zone of permafrost and glaciers.","This is a category A project under IFCs environmental review procedure. Cameco has prepared a detailed environmental assessment (EA) which adequately addresses the environmental issues associated with the project. Cameco has also undertaken necessary public consultation and disclosure in accordance with IFC policy. Environmental issues associated with the project include loss of habitat, erosion, effluent discharge, and reclamation planning. Occupational health and safety issues include provision of adequate training, proper hazardous substance handling and storage, work place air quality, and provision and use of personal protection equipment.Location of environmental documents In locally affected community","","","","",3966,"",BE - Gold,"","","",""
ALL ASIA GROWTH VENTURES - I,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,East Asia and the Pacific,Philippines,"All AsiaCapital Growth Venture BVI  - I,  Ltd.",Disruptive Technologies and Funds,1995-03-20T05:00:00Z,"",FI,Equity,"Summary Of Project Information (SPI)Project NamePhilippines - All AsiaCapital Growth Ventures BVI III, Ltd.RegionEast Asia and PacificSectorProject No004900Projected Board DateAugust 25, 1998Company NameAll AsiaCapital  Growth Ventures  BVI III, Ltd. (AGV  III)Technical Partner and/or Major Shareholders	The main project sponsor is All-Asia Capital and Trust Corporation (AACTC), an IFC investee company since its foundation in 1979.  It is the leading non-bank financial institution in the Philippines with diversified interests in investment banking, insurance, venture capital, real estate and consumer finance.  As of December 1997,  total assets amounted to US$213 million while total equity stood at US$49 million.  IFC is a  shareholder in AACTC with an ownership stake of 9.9%.     AGV III is a follow-on fund to AGV I, the first venture capital fund established by AACTC.  AGV I started operations in September 1995 and has committed US$16 million or 80% of the subscribed amount. IFC invested US$4.0 million for 20% of the fund.        The other prospective investors in AGV III would be primarily foreign institutional investors.   It is also expected that a foreign venture capital company would participate in AGV-III and provide technical assistance.Project Cost Including proposed IFC investment	The targeted size of the Fund is US$75 million.  IFC''s equity investment would be US$7.5 million or 15% of the total fund amount, whichever is lower.  Location of project and Description of site	AGV III will be established as an offshore venture capital company in the British Virgin Islands for foreign investors.   An onshore Philippine company will also be formed in parallel for the Filipino investors.  These two parallel funds will be managed by two tandem management companies, Asian Venture Capital Managers, Ltd. in the British Virgin Islands and All AsiaCapital Managers, Inc. in the Philippines.    Description of Company and Purpose of Project	AGV III will be a private equity fund that will provide long term capital for Filipino companies with the potential for generating significant capital gains.  The fund will strike a commercially prudent balance between investments in early development companies with high growth potential and those with fairly clear prospects of going public in one to three years time frame.  The fund will also focus on investment in companies with operations in areas outside Metro Manila as well as some of the less developed islands in the Philippine archipelago.    Environmental Category and Issues	This is a category FI project according to IFC''s environmental review procedure.  The Fund will be required to undertake an environmental review of all eligible investee companies to ensure compliance with Philippine environmental, health and safety laws, regulations and standards as well as applicable World Bank policies and guidelines.  In addition, IFC will assess AGV III''s capability to carry out environmental reviews of each investee company.Date SPI sent to InfoShop July 20, 1998This Summary of Project Information is prepared and distributed to the public in advance of consideration of the proposed transaction by the Corporations Board of Directors.  It is provided for the purpose of enhancing the transparency of IFCs activities and should not be construed as presuming the outcome of IFC Board consideration.For Additional Information contact:  Corporate Relations Unit -telephone: (202) 473-7711facsimile: (202) 974-4384","","","","","","","","","","","","","",4.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoanEquity4.0* These investment figures are indicative,"","","","","","",4900,"",BA - Private Equity/Venture Cap Fund - Country,"","","",""
JORDAN MOBILE TELEPHONE SERVICES (JMTS),Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Middle East and North Africa,Jordan,JORDAN MOBILE TELEPHONE SERVICES,Gbl Infrastructure & Natural Resources,1995-04-11T04:00:00Z,"",B,Loan,"SUMMARY OF PROJECT INFORMATIONProject Name 			JORDAN: Jordan Mobile Telephone Services Company Ltd.                                    		Project   involves   the development, installation   and  operation  of   a 				nationwide   GSM  (Global     System     for    							MobileCommunications) cellular telephone network.Region           			Middle EastSector            			TelecommunicationsProject No.                 		004906Company Name     		Jordan Mobile Telephone Services Company Ltd. (JMTS)Location of project andDescription  of  site        Headquartered  in  Amman.Project  will   benationwide.Date SPI sent to PIC  April 18, 1995Projected Board Date  May 25, 1995Description of Company and Purpose of Project           JMTS,  a joint venture between Motorola and agroup of Jordanian private  investors,  has been awarded a license to installand  operate  a digital  cellular telephone system in Jordan.  The 15-yearlicense,  which was  awarded  under a competitive bid, requires the Companyto  build  up, within a four year period, a nation-wide network providingcoverage to  95% of  the  populated areas of the country.  Service isexpected to  start  no later than October 30, 1995.            Cellular   has   become   an  integral   part of   a   moderntelecommunications network, and the JMTS system would complement the  basicwireline  network  by  offering efficient mobile telephone services  usingstate-of-the-art digital technology.  It would also supplement, in the nearterm, the shortage of telephone service in Jordan, which today stands at  adensity of only 7%. Technical Partner and/or Major Shareholders          Motorola Inc. will provide the technology and isalso the largest beneficial  shareholder  at 28%.  The balance of the  sharesare  held  by private Jordanian corporate and institutional investors.Project Cost including proposed IFC investment          Total project cost is US$84 million.  IFC wouldprovide an equity investment  of  about  US$3  million and  arrange  US$35million  of  debt financing:  US$15  million for IFC''s own account and  thebalance  through syndication with participant banks (and/or co-financing).Environmental Category and Issues           This  is  a Category B project under IFC''sEnvironmental  Review Procedure.    Potential  environmental  issues  includeminimal   impacts associated with microwave transmission, radio towers, solidwaste disposal, halon  use,  and worker safety.  The sponsors have submitteda response  to IFC''s  Environmental Questionnaire and are preparing anenvironmental  plan addressing  the  issues  listed  above.   In  addition,  IFCis  exploring alternatives to, and potential mitigative measuresassociated  with,  halon use.   The  Environmental Review Summary will be availablefrom the  Public Information Center on or about May 10, 1995.For additional information contact: Corporate Relations Unit-telephone:    (202) 473-7711facsimile:    (202) 676-0365Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",18.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan15.0Equity3.0* These investment figures are indicative,"","","","","","",4906,"",AC - Mobile Telephony,"","","",""
Cifunsa S.A. de C.V.,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Latin America and the Caribbean,Mexico,"Cifunsa, S.A. de C.V.","Gbl Ind, Manufact, Agribus & Services",1995-04-18T04:00:00Z,"",B,Loan,"	SUMMARY OF PROJECT INFORMATION (SPI)Country/Project Name	Mexico - CifunsaRegion				Latin AmericaSector				Non-sectoralProject No.			4640Projected Board Date	May 31, 1995Company Name			Cifunsa S.A. de C.V.Technical Partner and/or Major Shareholders	Cifunsa is a wholly owned subsidiary of Grupo Industrial Saltillo S.A. de C.V. (GISSA).  GISSA''s shareholding is controlled 85% by its original founders, the Lopez family, while the remaining 15% is held by the general public.  GISSA''s shares are traded in the Mexican Stock Exchange.Project Cost including proposed IFC investment	US$45.9 millionLocation of project and Description of site	Saltillo, Coahuila.  The site is located in an industrial corridor on the northern side of the city.  Description of Company and Purpose of Project	Cifunsa is the leading Mexican producer of automotive engine block and engine head castings.  IFC has been asked to partly finance the modernization, automation and expansion of the manufacturing operations of Cifunsa, as well as the improvement of its environmental facilities.Environmental Categories and Issues	This is a category ""B"" project according to IFC''s environmental review procedure.  Environmental issues associated with this project include air emissions, liquid effluents, solid wastes and land use.  Occupational health and safety issues include equipment guarding, fire prevention, emergency response, and employee exposure to noise, molten metal, dust and hazardous materials.The Environmental Review Summary is expected to be available on or about May 15, 1995 from the Public Information Center.  Host country location(s) of environmental documents:  Chiapas 375 Pte., Apartado Postal 29-C, 25280 Saltillo, Coahuila, Mexico.Date SPI sent to PIC		[To be input by Corporate Relations Unit}For additional Information contact:  Corporate Relations Unit - telephone (202) 473-7711 - facsimile: (202) 676-0365.IFCSPI(04/04/95)Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",18.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan18.0Equity* These investment figures are indicative,"","","","","","",4640,"",CG - Motor Vehicle Parts,"","","",""
Eastern Caribbean Home Mortgage Bank,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Latin America and the Caribbean,Caribbean Region,EASTERN CARIBBEAN HOME MORTGAGE BANK,Regional Industry - FIG LAC,1995-04-20T04:00:00Z,"",C,Equity,"Please find attached SPI for Eastern Caribbean Home Mortgage Bank	SUMMARY OF PROJECT INFORMATION (SPI)Project Name			Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, St. Kitts and Nevis, St. Lucia, and St. Vincent and the Grenadines - Eastern Caribbean Home Mortgage Bank (ECHMB).Region				Latin America and the CaribbeanSector				FinanceProject No.			003783Projected Board Date	May 18, 1995Company Name			Eastern Caribbean Home Mortgage BankTechnical Partner and/or Major Shareholders	The project''s technical partners are ECCB and the Home Mortgage Bank of Trinidad and Tobago (""HMB"").  ECCB is the central bank of its eight member territories, responsible for the issuance of the regional currency, the Eastern Caribbean Dollar, and the establishment of monetary policy.  HMB was established in 1986 as a secondary mortgage bank to mobilize private savings for mortgage loan refinancing in Trinidad and Tobago.  IFC is a 10% shareholder in HMB.Project Cost including proposed IFC investment	EC$10 million (US$3,703,704 million equivalent) including proposed IFC investment of EC$1 million (US$370,370 equivalent)Location of project and Description of site	ECHMB will be located at the headquarters of the ECCB in St. Kitts.Description of Company and Purpose of Project	The project involves the establishment of ECHMB, an independent, privately-managed financial institution, primarily to purchase new and existing residential mortgage loans from mostly private mortgage originating institutions located in the member territories of the ECCB.Environmental Categories and Issues	This is a category C project according to IFC''s environmental review procedure.  No further environmental review is required.Date SPI sent to PIC		April 20, 1995For additional Information contact:  Corporate Relations Unit - telephone (202) 473-7711 - facsimile: (202) 676-0365.","","","","","","","","","","","","","",0.40 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoanEquity0.40* These investment figures are indicative,"","","","","","",3783,"",EB - Secondary Mortgage Institutions,"","","",""
AGUAS ARGENTINAS S.A. II,Investment,Summary of Proposed Investment (Disclosure Policy 2006),Completed,Latin America and the Caribbean,Argentina,AGUAS ARGENTINAS SA,Gbl Infrastructure & Natural Resources,1995-04-25T04:00:00Z,"",B,Loan,"	SUMMARY OF PROJECT INFORMATION (SPI)Country/Project Name	Argentina - Aguas Argentinas S.A. Aguas Argentinas is the concessionaire for the operation and management of the water and sewage system in Metropolitan Buenos Aires.  Region				Latin AmericaSector				InfrastructureProject No.			4932Projected Board Date	June 7, 1995Company Name			Aguas Argentinas S.A.Technical Partner and/or Major Shareholders	Aguas'' main shareholders are: Lyonnaise des Eaux (25%) from France  and Sociedad Comercial del Plata (19.5%) from Argentina.  As part of an earlier financing package arranged for Aguas, IFC has acquired 5% of the total shares in the Company.  Other shareholders are S.G. Aguas de Barcelona (Spain), Compagnie Generale des Eaux (France) and Anglian Water (UK), Meller Group (Argentina), Banco de Galicia y Buenos Aires (Argentina).  Also, Aguas'' employees hold 10% of the total share capital. Lyonnaise des Eaux has entered a management contract with Aguas whereby Lyonnaise will act as the operator and manager of Aguas for the life of the concession.Project Cost including proposed IFC investmentEstimated Project Cost is approximately US$600 million.  IFC proposed investment consists of an A loan, for IFC''s own account, for up to US$40 million and a B loan, for the account of participants, for up to US$110 million.	Location of project and Description of siteMetropolitan Buenos Aires.	Description of Company and Purpose of Project	Aguas Argentinas S.A. (Aguas) is the holder of a 30-years exclusive concession to provide potable water and sewerage services to Metropolitan Buenos Aires.  Under the Concession Contract, Aguas is committed to an investment program of approximately US$4 billion over the concession life.  Within two years of operations, Aguas has rehabilitated and expanded the potable water and sewage networks to 600,000 new customers, eliminated water shortages and increased potable water production by 25%.  IFC''s investment will provide financing for Aguas'' 1996 and 1997 capital expenditure program, estimated at approximately US$600 million, for which IFC has been requested to provide US$150 million debt financing.  The capital expenditure program is part of Aguas'' first five-years investment program, of approximately US$1.2 billion, and aims to continue the rehabilitation and expansion of the drinking water and sewerage system within the concession area.  	Environmental Categories and Issues	This is a category B project according to IFC''s environmental review procedures.  Environmental issues associated with the project include the disposal of sludges, water quality impacts, odor control, and the disposal of PCB''s and other types of contaminants.	The project is designed to improve and extend the water supply and sewage services to the residents within the concession area.  Treatment plants will improve the quality of liquid effluents discharged to the streams and rivers of the concession area.  Aguas has conducted a comprehensive environmental audit on facilities and operations in the concession which addresses issues such as the disposal of sludges, water quality, odor control, the disposal of PCB''s and other types of contaminants, etc.  As part of this audit, Aguas developed a program to ensure that existing operations and future capital expenditures will be in line with World Bank and Argentine health, safety and environmental guidelines.  This has been reviewed by IFC''s Environment Division and found satisfactory.The Environmental Review Summary is expected to be available on or about May 18, 1995 from the Public Information Center.Date SPI sent to PIC		For additional Information contact:  Corporate Relations Unit - telephone (202) 473-7711 - facsimile: (202) 676-0365.Environmental documents for this project are available at http://www.ifc.org and from the World Bank InfoShop (http://www.worldbank.org/html/pic/aboutinfo.html).","","","","","","","","","","","","","",40.0 million (USD)Product LineIFC Investment (million USD)Risk ManagementGuaranteeLoan40.0Equity* These investment figures are indicative,"","","","","","",4932,"",BA - Water and Wastewater Utilities,"","","",""
